"rank","name","country","starting_number","total_segment_score","total_element_score","total_component_score","deductions","type","category","base_value","highlight","goe","factor","j1","j2","j3","j4","j5","j6","j7","j8","j9","scores_of_panel"
11," BAZAROVA Vera / LARIONOV Yuri","RUS",10,106.96,57.72,50.24,NA,"pc","Performance / Execution",NA,NA,NA,1.6,"6.50","6.50","7.00","5.75","5.25","6.50","5.25","6.25","6.50",6.2
11," BAZAROVA Vera / LARIONOV Yuri","RUS",10,106.96,57.72,50.24,NA,"pc","Choreography / Composition",NA,NA,NA,1.6,"6.75","6.50","7.00","6.00","5.50","6.50","6.00","6.25","6.75",6.4
11," BAZAROVA Vera / LARIONOV Yuri","RUS",10,106.96,57.72,50.24,NA,"pc","Interpretation",NA,NA,NA,1.6,"6.25","6.50","6.75","6.00","5.00","6.75","5.75","6.00","6.50",6.3
11," BAZAROVA Vera / LARIONOV Yuri","RUS",10,106.96,57.72,50.24,-1,"ded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12," DENNEY Caydee / BARRETT Jeremy","USA",8,105.07,56.27,48.8,NA,"ee","3LzTw1",5,0,0.7,NA,"0.7","0.7","1.4","0.7","0.7","0.7","0","0.7","0.7",5.7
12," DENNEY Caydee / BARRETT Jeremy","USA",8,105.07,56.27,48.8,NA,"ee","3T<",1.3,0,0.1,NA,"0","0.5","0.5","0","-0.3","1","0","-0.3","0",1.4
12," DENNEY Caydee / BARRETT Jeremy","USA",8,105.07,56.27,48.8,NA,"ee","3LzTh",5.5,0,0.84,NA,"0.7","1.4","0.7","1.4","0.7","1.4","0.7","0.7","0.7",6.34
12," DENNEY Caydee / BARRETT Jeremy","USA",8,105.07,56.27,48.8,NA,"ee","1A+2A+SEQ",3.44,0,-1.78,NA,"-2.5","-2.5","-0.8","-1.6","-1.6","0","-1.6","-1.6","-1.6",1.66
12," DENNEY Caydee / BARRETT Jeremy","USA",8,105.07,56.27,48.8,NA,"ee","FiDs2",3,0,0.7,NA,"0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0",3.7
12," DENNEY Caydee / BARRETT Jeremy","USA",8,105.07,56.27,48.8,NA,"ee","FCCoSp3",3,0,0.04,NA,"0","0.5","0","0.5","0.5","0.5","-0.3","0","-0.3",3.04
12," DENNEY Caydee / BARRETT Jeremy","USA",8,105.07,56.27,48.8,NA,"ee","5ALi4",7.15,1,0.4,NA,"1","0","1","1","1","1","0","0","0",7.55
12," DENNEY Caydee / BARRETT Jeremy","USA",8,105.07,56.27,48.8,NA,"ee","SpSq4",3.4,0,0.8,NA,"1","0","1","1","1","1","1","1","0",4.2
12," DENNEY Caydee / BARRETT Jeremy","USA",8,105.07,56.27,48.8,NA,"ee","3LoTh",5.5,1,0.98,NA,"1.4","1.4","0.7","1.4","0.7","1.4","0.7","0.7","0.7",6.48
12," DENNEY Caydee / BARRETT Jeremy","USA",8,105.07,56.27,48.8,NA,"ee","3Li4",4.4,1,0.1,NA,"0","0","0.5","1","0.5","0.5","0","0","0",4.5
