competition,isu_year,is_short_program,category,event_type,judge_number,judge_name,judge_nationality
wc2018,1718,1,men,individual,9,Peter RANKIN,AUS
wc2018,1718,0,men,individual,1,ABELE Agita,LAT
wc2018,1718,0,men,individual,2,RISTANEN Tarja,FIN
wc2018,1718,0,men,individual,3,Eddy WU,TWN
wc2018,1718,0,men,individual,4,BLATZ Susan,CAN
wc2018,1718,0,men,individual,5,Peter RANKIN,AUS
wc2018,1718,0,men,individual,6,VERRUE Veronique,FRA
wc2018,1718,0,men,individual,7,Anna KANTOR,ISR
wc2018,1718,0,men,individual,8,Anna SIEROCKA,POL
wc2018,1718,0,men,individual,9,ENZMANN Wendy,USA
wc2018,1718,1,women,individual,1,KRUSEC Matjaz,SLO
wc2018,1718,1,women,individual,2,Catherine L. TAYLOR,AUS
wc2018,1718,1,women,individual,3,Birgit FOLL,GER
wc2018,1718,1,women,individual,4,Ko-Man TING,TWN
wc2018,1718,1,women,individual,5,Anne G. SHEAN,USA
wc2018,1718,1,women,individual,6,KUBOTA Masako,JPN
wc2018,1718,1,women,individual,7,HORKLOVA Marketa,CZE
wc2018,1718,1,women,individual,8,Jung-Sue LEE,KOR
wc2018,1718,1,women,individual,9,Allan BOEHM,SVK
wc2018,1718,0,women,individual,1,KUBOTA Masako,JPN
wc2018,1718,0,women,individual,2,KRUGLOVA Natalia,UKR
wc2018,1718,0,women,individual,3,KRUSEC Matjaz,SLO
wc2018,1718,0,women,individual,4,HORKLOVA Marketa,CZE
wc2018,1718,0,women,individual,5,DE Francoise RAPPARD,BEL
wc2018,1718,0,women,individual,6,ELO Pirjo,FIN
wc2018,1718,0,women,individual,7,DEY Lynne,CAN
wc2018,1718,0,women,individual,8,Allan BOEHM,SVK
wc2018,1718,0,women,individual,9,Catherine L. TAYLOR,AUS
wc2018,1718,1,pairs,individual,1,MORANDI Tiziana,ITA
wc2018,1718,1,pairs,individual,2,HOWARD Karen,CAN
wc2018,1718,1,pairs,individual,3,Anthony LEROY,FRA
wc2018,1718,1,pairs,individual,4,GLENN Roger,USA
wc2018,1718,1,pairs,individual,5,Andreas WALDECK,GER
