"Country","Name","iso3c"
"Czech Republic","Jana BAUDYSOVA","CZE"
"Czech Republic","Petr BIDAR","CZE"
"Czech Republic","Renata CERNA","CZE"
"Czech Republic","Michaela CIESLAROVA","CZE"
"Czech Republic","Hana DOBROVOLNA","CZE"
"Czech Republic","Anna DUSKOVA","CZE"
"Czech Republic","Michaela Lucie HANZLIKOVA","CZE"
"Czech Republic","Milan HARANT","CZE"
"Czech Republic","Vilem HLAVSA","CZE"
"Czech Republic","Marketa HORKLOVA","CZE"
"Czech Republic","Marketa HOUSKOVA","CZE"
"Czech Republic","Tomas JANECKO","CZE"
"Czech Republic","Zofie JAROLIMOVA","CZE"
"Czech Republic","Katerina KAMBERSKA","CZE"
"Czech Republic","Barbora KNOTKOVA","CZE"
"Czech Republic","Richard KOSINA","CZE"
"Czech Republic","Jana KOSTALOVA","CZE"
"Czech Republic","Klara KRUZIKOVA","CZE"
"Czech Republic","Vera KVARCAKOVA","CZE"
"Czech Republic","Marie LAFANTOVA","CZE"
"Czech Republic","Alena LEHKA","CZE"
"Czech Republic","Petra LEHKA","CZE"
"Czech Republic","Zdenka MADLOVA","CZE"
"Czech Republic","Karolina MELICHAROVA","CZE"
"Czech Republic","Michaela MILCINSKA","CZE"
"Czech Republic","Miroslav MISUREC","CZE"
"Czech Republic","Jitka MOKRA","CZE"
"Czech Republic","Katerina MRAZOVA","CZE"
"Czech Republic","Lucie MURYCOVA","CZE"
"Czech Republic","Lucie MUZIKOVA","CZE"
"Czech Republic","Martin OSMERA","CZE"
"Czech Republic","Barbora OSMEROVA","CZE"
"Czech Republic","Lukas OVCACEK","CZE"
"Czech Republic","Zuzana PLESNIKOVA","CZE"
"Czech Republic","Jarmila PORTOVA","CZE"
"Czech Republic","Blanka PRAZAKOVA","CZE"
"Czech Republic","Zdenek PROCHAZKA","CZE"
"Czech Republic","Vera PUPSOVA","CZE"
"Czech Republic","Petra RIMALOVA","CZE"
"Czech Republic","Miluse SAFRANKOVA","CZE"
"Czech Republic","Renata SCHEJBALOVA","CZE"
"Czech Republic","Veronika SKALICKA","CZE"
"Czech Republic","Stanislava SMIDOVA","CZE"
"Czech Republic","Ivan SMOLIK","CZE"
"Czech Republic","Liliana STRECHOVA","CZE"
"Czech Republic","Katerina SULOWSKA","CZE"
"Czech Republic","Vera TAUCHMANOVA","CZE"
"Czech Republic","Andrea TRNKOVA-KUNCOVA","CZE"
"Czech Republic","Katerina TYKALOVA","CZE"
"Czech Republic","Eva TYPOLTOVA","CZE"
"Czech Republic","Miroslav VERNER","CZE"
"Czech Republic","Jana VOLFOVA","CZE"
"Czech Republic","Marta ZIMOVA","CZE"
"Denmark","Malene ANDERSEN","DEN"
"Denmark","Rikke ANDERSEN","DEN"
"Denmark","Lone ARUP","DEN"
"Denmark","Lone ATRUP","DEN"
"Denmark","Nanna BARTH","DEN"
"Denmark","Ingelise BLANGSTED","DEN"
"Denmark","Helle ROSSELL BOLS","DEN"
"Denmark","Andreas BRAMMER","DEN"
"Denmark","Helle CARLSEN","DEN"
"Denmark","Caroline Oreskov CHRISTOFFERSEN","DEN"
"Denmark","Cecilie DREIER","DEN"
"Denmark","Jette DRESLER","DEN"
"Denmark","Louise EBENER","DEN"
"Denmark","Katrine ESKILDSEN","DEN"
"Denmark","Kim Louise ETTRUP","DEN"
"Denmark","Mette FALKENHØJ","DEN"
"Denmark","Mathilde FELDING","DEN"
"Denmark","John Post FERDINANDSEN","DEN"
"Denmark","Marielle B. FOURNIER","DEN"
"Denmark","Maria FUGLSANG","DEN"
"Denmark","Ludovica GANDINI","DEN"
"Denmark","Jesper GORMSEN","DEN"
"Denmark","Pernille Langkjær GORMSEN","DEN"
"Denmark","Heidi Frølund HANSEN","DEN"
"Denmark","Nanna Jiang HANSEN","DEN"
"Denmark","Anita HILBERT","DEN"
"Denmark","Jesper HOLKJÆR","DEN"
"Denmark","Charlotte HOLM-BUSK","DEN"
"Denmark","Charlotte HOLM-NIELSEN","DEN"
"Denmark","Signe Hygom JACOBSEN","DEN"
"Denmark","Line Topholm JANUM","DEN"
"Denmark","Sanni Topholm JANUM","DEN"
"Denmark","Charlotte JENSEN","DEN"
"Denmark","Emma JENSEN","DEN"
"Denmark","Nicole Romanova JENSEN","DEN"
"Denmark","Veronica Humlebæk JENSEN","DEN"
"Denmark","Victoria Humlebæk JENSEN","DEN"
"Denmark","Leonora Colmor JEPSEN","DEN"
"Denmark","Josephine KÆRSGAARD","DEN"
"Denmark","Maria Bækgaard KJÆR","DEN"
"Denmark","Masha KNUDSEN","DEN"
"Denmark","Veronica KROHG","DEN"
"Denmark","Camilla Løvkvist LARSEN","DEN"
"Denmark","Christine HESTBECH LAURIDSEN","DEN"
"Denmark","Vivian LETHOLM","DEN"
"Denmark","Lone Amstrup LINNEMANN","DEN"
"Denmark","Svea LUND","DEN"
"Denmark","Laura LUNDSGAARD","DEN"
"Denmark","Michelle LYNDGAARD","DEN"
"Denmark","Helle LYNGBERG","DEN"
"Denmark","Christina Wassard MAAS","DEN"
"Denmark","Guri Svane MAGNUSSEN","DEN"
"Denmark","Kristina MARUSHAK","DEN"
"Denmark","Aya MØLGAARD","DEN"
"Denmark","Emilie MUFF","DEN"
"Denmark","Anne NGUYEN","DEN"
"Denmark","Maria NGUYEN","DEN"
"Denmark","Liv Tofte NIELSEN","DEN"
"Denmark","Kimia NIKKHAH","DEN"
"Denmark","Cecilie NOACH","DEN"
"Denmark","Lea NØRGAARD","DEN"
"Denmark","Nicole OLER","DEN"
"Denmark","Sara Azoulay PEDERSEN","DEN"
"Denmark","Isabella PELLIN","DEN"
"Denmark","Cristina PÉREZ","DEN"
"Denmark","Dasha PODTELEJNIKOVA","DEN"
"Denmark","Cecilie Emilie RENDTORFF","DEN"
"Denmark","Mary ROSENZWEIG","DEN"
"Denmark","Julia SANDSTEN","DEN"
"Denmark","Silje SCHMIDT","DEN"
"Denmark","Sille Maria SEJERSEN","DEN"
"Denmark","Vanessa SEVIDOVA","DEN"
"Denmark","Alicia SØRENSEN","DEN"
"Denmark","Christina STIELUND","DEN"
"Denmark","Louise STIELUND","DEN"
"Denmark","Stina STRZELEC","DEN"
"Denmark","Anne Sjøberg THOMSEN","DEN"
"Denmark","Marie Louise THOMSEN","DEN"
"Denmark","Michael TYLLESEN","DEN"
"Denmark","Lone VILLEFRANCE","DEN"
"Denmark","Emma WOLF","DEN"
"Ecuador","Jorge CANIZARES","ECU"
"Spain","Irene ALONSO","ESP"
"Spain","Raquel ALVAREZ","ESP"
"Spain","María ANTOLÍN","ESP"
"Spain","Laura ARBE","ESP"
"Spain","Maialen ARIZ","ESP"
"Spain","Daniela BLANCO","ESP"
"Spain","Alicia CALVO","ESP"
